
--data for course table

INSERT INTO course (course_code, course_name, credits, department, course_type, hours, lecture) VALUE 
('TCS1212', 'Fundamental of Management', 2, 'D004', 'T', 1, 'L001'),
('ICT1233', 'Server-Side Web Development', 3, 'D001', 'BOTH', 1, 'L002'),
('ICT1253', 'Computer Networks', 3, 'D001', 'BOTH', 1, 'L003'),
('TMS1233', 'Discrete Mathematics', 3, 'D001', 'T', 1, 'L005'),
('ICT1212', 'Database Management Systems', 2, 'D001', 'T', 1, 'L003'),
('ICT1222', 'Database Management Systems Practicum', 2, 'D001', 'P',2,'L004'),
('ENG1212', 'English II', 2, 'D001', 'T', 1, 'L001'),
('ICT1242', 'Computer Architecture', 2, 'D001', 'T', 1, 'L002');

--data for marks table

INSERT INTO marks (registration_no, course_code, week_number, status, mark) VALUES 
('S002', 'ICT1253', 10, 'MP', 50),
('S002', 'ICT1253', 10, 'FP', 78),
('S002', 'ICT1253', 17, 'FT', 79),
('S002', 'TMS1233', 2, 'Q1', 82),
('S002', 'TMS1233', 5, 'Q2', 85),
('S002', 'TMS1233', 6, 'Q3', 75),
('S002', 'TMS1233', 7, 'A', 83),
('S002', 'TMS1233', 9, 'MT', 80),
('S002', 'TMS1233', 16, 'FT', 84),
('S002', 'ICT1212', 3, 'Q1', 88),
('S002', 'ICT1212', 6, 'Q2', 85),
('S002', 'ICT1212', 7, 'Q3', 67),
('S002', 'ICT1212', 8, 'A', 87),
('S002', 'ICT1212', 10, 'MT', 90),
('S002', 'ICT1212', 17, 'FT', 89),
('S002', 'ICT1222', 4, 'Q1', 82),
('S002', 'ICT1222', 5, 'Q2', 83),
('S002', 'ICT1222', 5, 'Q3', 78),
('S002', 'ICT1222', 7, 'A', 85),
('S002', 'ICT1222', 11, 'MP', 88),
('S002', 'ICT1222', 18, 'FP', 90),
('S002', 'ENG1212', 2, 'Q1', 85),
('S002', 'ENG1212', 5, 'Q2', 80),
('S002', 'ENG1212', 6, 'Q3', 89),
('S002', 'ENG1212', 7, 'A', 84),
('S002', 'ENG1212', 9, 'MT', 82),
('S002', 'ENG1212', 16, 'FT', 83),
('S002', 'ICT1242', 3, 'Q1', 76),
('S002', 'ICT1242', 6, 'Q2', 79),
('S002', 'ICT1242', 7, 'Q3', 69),
('S002', 'ICT1242', 8, 'A', 81),
('S002', 'ICT1242', 10, 'MT', 78),
('S002', 'ICT1242', 17, 'FT', 80),

('S003', 'TCS1212', 2, 'Q1', 64),
('S003', 'TCS1212', 4, 'Q2', 32),
('S003', 'TCS1212', 4, 'Q3', 45),
('S003', 'TCS1212', 6, 'A', 75),
('S003', 'TCS1212', 8, 'MT', 52),
('S003', 'TCS1212', 15, 'FT', 69),
('S003', 'ICT1233', 2, 'Q1', 75),
('S003', 'ICT1233', 5, 'Q2', 68),
('S003', 'ICT1233', 7, 'Q3', 52),
('S003', 'ICT1233', 7, 'A', 75),
('S003', 'ICT1233', 9, 'MT', 67),
('S003', 'ICT1233', 9, 'MP', 97),
('S003', 'ICT1233', 16, 'FT', 80),
('S003', 'ICT1233', 16, 'FP', 75),
('S003', 'ICT1253', 3, 'Q1', 90),
('S003', 'ICT1253', 6, 'Q2', 66),
('S003', 'ICT1253', 7, 'Q3', 65),
('S003', 'ICT1253', 8, 'A', 71),
('S003', 'ICT1253', 10, 'MP', 40),
('S003', 'ICT1253', 10, 'FP', 68),
('S003', 'ICT1253', 17, 'FT', 89),
('S003', 'TMS1233', 2, 'Q1', 42),
('S003', 'TMS1233', 5, 'Q2', 55),
('S003', 'TMS1233', 6, 'Q3', 50),
('S003', 'TMS1233', 7, 'A', 53),
('S003', 'TMS1233', 9, 'MT', 40),
('S003', 'TMS1233', 16, 'FT', 34),
('S003', 'ICT1212', 3, 'Q1', 78),
('S003', 'ICT1212', 6, 'Q2', 55),
('S003', 'ICT1212', 7, 'Q3', 60),
('S003', 'ICT1212', 8, 'A', 47),
('S003', 'ICT1212', 10, 'MT', 80),
('S003', 'ICT1212', 17, 'FT', 79),
('S003', 'ICT1222', 4, 'Q1', 82),
('S003', 'ICT1222', 9, 'Q2', 83),
('S003', 'ICT1222', 9, 'Q3', 73),
('S003', 'ICT1222', 7, 'A', 85),
('S003', 'ICT1222', 11, 'MP', 88),
('S003', 'ICT1222', 18, 'FP', 90),
('S003', 'ENG1212', 2, 'Q1', 35),
('S003', 'ENG1212', 5, 'Q2', 40),
('S003', 'ENG1212', 6, 'Q3', 89),
('S003', 'ENG1212', 7, 'A', 34),
('S003', 'ENG1212', 9, 'MT', 42),
('S003', 'ENG1212', 16, 'FT', 83),
('S003', 'ICT1242', 3, 'Q1', 76),
('S003', 'ICT1242', 6, 'Q2', 79),
('S003', 'ICT1242', 7, 'Q3', 69),
('S003', 'ICT1242', 8, 'A', 81),
('S003', 'ICT1242', 10, 'MT', 78),
('S003', 'ICT1242', 17, 'FT', 30),

('S004', 'TCS1212', 2, 'Q1', 30),
('S004', 'TCS1212', 4, 'Q2', 98),
('S004', 'TCS1212', 4, 'Q3', 58),
('S004', 'TCS1212', 6, 'A', 90),
('S004', 'TCS1212', 8, 'MT', 88),
('S004', 'TCS1212', 15, 'FT', 89),
('S004', 'ICT1233', 2, 'Q1', 79),
('S004', 'ICT1233', 5, 'Q2', 38),
('S004', 'ICT1233', 7, 'Q3', 95),
('S004', 'ICT1233', 7, 'A', 85),
('S004', 'ICT1233', 9, 'MT', 32),
('S004', 'ICT1233', 9, 'MP', 50),
('S004', 'ICT1233', 16, 'FT', 75),
('S004', 'ICT1233', 16, 'FP', 69),
('S004', 'ICT1253', 3, 'Q1', 66),
('S004', 'ICT1253', 6, 'Q2', 34),
('S004', 'ICT1253', 7, 'Q3', 70),
('S004', 'ICT1253', 8, 'A', 66),
('S004', 'ICT1253', 10, 'MP', 71),
('S004', 'ICT1253', 10, 'FP', 95),
('S004', 'ICT1253', 17, 'FT', 72),
('S004', 'TMS1233', 2, 'Q1', 34),
('S004', 'TMS1233', 5, 'Q2', 45),
('S004', 'TMS1233', 6, 'Q3', 55),
('S004', 'TMS1233', 7, 'A', 66),
('S004', 'TMS1233', 9, 'MT', 37),
('S004', 'TMS1233', 16, 'FT', 77),
('S004', 'ICT1212', 3, 'Q1', 39),
('S004', 'ICT1212', 6, 'Q2', 72),
('S004', 'ICT1212', 7, 'Q3', 65),
('S004', 'ICT1212', 8, 'A', 91),
('S004', 'ICT1212', 10, 'MT', 78),
('S004', 'ICT1212', 17, 'FT', 37),
('S004', 'ICT1222', 4, 'Q1', 93),
('S004', 'ICT1222', 9, 'Q2', 31),
('S004', 'ICT1222', 9, 'Q3', 50),
('S004', 'ICT1222', 7, 'A', 99),
('S004', 'ICT1222', 11, 'MP', 30),
('S004', 'ICT1222', 18, 'FP', 31),
('S004', 'ENG1212', 2, 'Q1', 70),
('S004', 'ENG1212', 5, 'Q2', 47),
('S004', 'ENG1212', 6, 'Q3', 89),
('S004', 'ENG1212', 7, 'A', 38),
('S004', 'ENG1212', 9, 'MT', 51),
('S004', 'ENG1212', 16, 'FT', 65),
('S004', 'ICT1242', 3, 'Q1', 73),
('S004', 'ICT1242', 6, 'Q2', 50),
('S004', 'ICT1242', 7, 'Q3', 65),
('S004', 'ICT1242', 8, 'A', 98),
('S004', 'ICT1242', 10, 'MT', 73),
('S004', 'ICT1242', 17, 'FT', 34),

('S005', 'TCS1212', 2, 'Q1', 50),
('S005', 'TCS1212', 4, 'Q2', 96),
('S005', 'TCS1212', 4, 'Q3', 79),
('S005', 'TCS1212', 6, 'A', 41),
('S005', 'TCS1212', 8, 'MT', 49),
('S005', 'TCS1212', 15, 'FT', 59),
('S005', 'ICT1233', 2, 'Q1', 43),
('S005', 'ICT1233', 5, 'Q2', 39),
('S005', 'ICT1233', 7, 'Q3', 39),
('S005', 'ICT1233', 7, 'A', 75),
('S005', 'ICT1233', 9, 'MT', 52),
('S005', 'ICT1233', 9, 'MP', 39),
('S005', 'ICT1233', 16, 'FT', 49),
('S005', 'ICT1233', 16, 'FP', 83),
('S005', 'ICT1253', 3, 'Q1', 45),
('S005', 'ICT1253', 6, 'Q2', 68),
('S005', 'ICT1253', 7, 'Q3', 70),
('S005', 'ICT1253', 8, 'A', 93),
('S005', 'ICT1253', 10, 'MP', 74),
('S005', 'ICT1253', 10, 'FP', 73),
('S005', 'ICT1253', 17, 'FT', 63),
('S005', 'TMS1233', 2, 'Q1', 30),
('S005', 'TMS1233', 5, 'Q2', 69),
('S005', 'TMS1233', 6, 'Q3', 65),
('S005', 'TMS1233', 7, 'A', 98),
('S005', 'TMS1233', 9, 'MT', 37),
('S005', 'TMS1233', 16, 'FT', 63),
('S005', 'ICT1212', 3, 'Q1', 79),
('S005', 'ICT1212', 6, 'Q2', 79),
('S005', 'ICT1212', 7, 'Q3', 70),
('S005', 'ICT1212', 8, 'A', 47),
('S005', 'ICT1212', 10, 'MT', 78),
('S005', 'ICT1212', 17, 'FT', 100),
('S005', 'ICT1222', 4, 'Q1', 42),
('S005', 'ICT1222', 9, 'Q2', 94),
('S005', 'ICT1222', 9, 'Q3', 50),
('S005', 'ICT1222', 7, 'A', 65),
('S005', 'ICT1222', 11, 'MP', 49),
('S005', 'ICT1222', 18, 'FP', 46),
('S005', 'ENG1212', 2, 'Q1', 52),
('S005', 'ENG1212', 5, 'Q2', 53),
('S005', 'ENG1212', 6, 'Q3', 89),
('S005', 'ENG1212', 7, 'A', 67),
('S005', 'ENG1212', 9, 'MT', 88),
('S005', 'ENG1212', 16, 'FT', 78),
('S005', 'ICT1242', 3, 'Q1', 99),
('S005', 'ICT1242', 6, 'Q2', 80),
('S005', 'ICT1242', 7, 'Q3', 70),
('S005', 'ICT1242', 8, 'A', 64),
('S005', 'ICT1242', 10, 'MT', 57),
('S005', 'ICT1242', 17, 'FT', 60),

('S006', 'TCS1212', 2, 'Q1', 37),
('S006', 'TCS1212', 4, 'Q2', 49),
('S006', 'TCS1212', 4, 'Q3', 82),
('S006', 'TCS1212', 6, 'A', 89),
('S006', 'TCS1212', 8, 'MT', 53),
('S006', 'TCS1212', 15, 'FT', 44),
('S006', 'ICT1233', 2, 'Q1', 71),
('S006', 'ICT1233', 5, 'Q2', 87),
('S006', 'ICT1233', 7, 'Q3', 85),
('S006', 'ICT1233', 7, 'A', 80),
('S006', 'ICT1233', 9, 'MT', 31),
('S006', 'ICT1233', 9, 'MP', 70),
('S006', 'ICT1233', 16, 'FT', 59),
('S006', 'ICT1233', 16, 'FP', 37),
('S006', 'ICT1253', 3, 'Q1', 73),
('S006', 'ICT1253', 6, 'Q2', 89),
('S006', 'ICT1253', 7, 'Q3', 75),
('S006', 'ICT1253', 8, 'A', 69),
('S006', 'ICT1253', 10, 'MP', 92),
('S006', 'ICT1253', 10, 'FP', 35),
('S006', 'ICT1253', 17, 'FT', 56),
('S006', 'TMS1233', 2, 'Q1', 43),
('S006', 'TMS1233', 5, 'Q2', 54),
('S006', 'TMS1233', 6, 'Q3', 60),
('S006', 'TMS1233', 7, 'A', 61),
('S006', 'TMS1233', 9, 'MT', 37),
('S006', 'TMS1233', 16, 'FT', 38),
('S006', 'ICT1212', 3, 'Q1', 89),
('S006', 'ICT1212', 6, 'Q2', 56),
('S006', 'ICT1212', 7, 'Q3', 70),
('S006', 'ICT1212', 8, 'A', 98),
('S006', 'ICT1212', 10, 'MT', 99),
('S006', 'ICT1212', 17, 'FT', 56),
('S006', 'ICT1222', 4, 'Q1', 52),
('S006', 'ICT1222', 9, 'Q2', 48),
('S006', 'ICT1222', 9, 'Q3', 82),
('S006', 'ICT1222', 7, 'A', 66),
('S006', 'ICT1222', 11, 'MP', 67),
('S006', 'ICT1222', 18, 'FP', 47),
('S006', 'ENG1212', 2, 'Q1', 76),
('S006', 'ENG1212', 5, 'Q2', 61),
('S006', 'ENG1212', 6, 'Q3', 89),
('S006', 'ENG1212', 7, 'A', 80),
('S006', 'ENG1212', 9, 'MT', 36),
('S006', 'ENG1212', 16, 'FT', 72),
('S006', 'ICT1242', 3, 'Q1', 59),
('S006', 'ICT1242', 6, 'Q2', 90),
('S006', 'ICT1242', 7, 'Q3', 75),
('S006', 'ICT1242', 8, 'A', 94),
('S006', 'ICT1242', 10, 'MT', 51),
('S006', 'ICT1242', 17, 'FT', 58),

('S007', 'TCS1212', 2, 'Q1', 84),
('S007', 'TCS1212', 4, 'Q2', 38),
('S007', 'TCS1212', 4, 'Q3', 51),
('S007', 'TCS1212', 6, 'A', 72),
('S007', 'TCS1212', 8, 'MT', 98),
('S007', 'TCS1212', 15, 'FT', 52),
('S007', 'ICT1233', 2, 'Q1', 66),
('S007', 'ICT1233', 5, 'Q2', 63),
('S007', 'ICT1233', 7, 'Q3', 65),
('S007', 'ICT1233', 7, 'A', 75),
('S007', 'ICT1233', 9, 'MT', 39),
('S007', 'ICT1233', 9, 'MP', 76),
('S007', 'ICT1233', 16, 'FT', 42),
('S007', 'ICT1233', 16, 'FP', 67),
('S007', 'ICT1253', 3, 'Q1', 45),
('S007', 'ICT1253', 6, 'Q2', 82),
('S007', 'ICT1253', 7, 'Q3', 75),
('S007', 'ICT1253', 8, 'A', 74),
('S007', 'ICT1253', 10, 'MP', 99),
('S007', 'ICT1253', 10, 'FP', 90),
('S007', 'ICT1253', 17, 'FT', 97),
('S007', 'TMS1233', 2, 'Q1', 33),
('S007', 'TMS1233', 5, 'Q2', 84),
('S007', 'TMS1233', 6, 'Q3', 60),
('S007', 'TMS1233', 7, 'A', 37),
('S007', 'TMS1233', 9, 'MT', 30),
('S007', 'TMS1233', 16, 'FT', 57),
('S007', 'ICT1212', 3, 'Q1', 99),
('S007', 'ICT1212', 6, 'Q2', 37),
('S007', 'ICT1212', 7, 'Q3', 70),
('S007', 'ICT1212', 8, 'A', 82),
('S007', 'ICT1212', 10, 'MT', 41),
('S007', 'ICT1212', 17, 'FT', 61),
('S007', 'ICT1222', 4, 'Q1', 61),
('S007', 'ICT1222', 9, 'Q2', 87),
('S007', 'ICT1222', 9, 'Q3', 62),
('S007', 'ICT1222', 7, 'A', 67),
('S007', 'ICT1222', 11, 'MP', 68),
('S007', 'ICT1222', 18, 'FP', 33),
('S007', 'ENG1212', 2, 'Q1', 52),
('S007', 'ENG1212', 5, 'Q2', 59),
('S007', 'ENG1212', 6, 'Q3', 89),
('S007', 'ENG1212', 7, 'A', 98),
('S007', 'ENG1212', 9, 'MT', 34),
('S007', 'ENG1212', 16, 'FT', 84),
('S007', 'ICT1242', 3, 'Q1', 91),
('S007', 'ICT1242', 6, 'Q2', 34),
('S007', 'ICT1242', 6, 'Q3', 64),
('S007', 'ICT1242', 8, 'A', 65),
('S007', 'ICT1242', 10, 'MT', 98),
('S007', 'ICT1242', 17, 'FT', 46),

('S008', 'TCS1212', 2, 'Q1', 50),
('S008', 'TCS1212', 4, 'Q2', 66),
('S008', 'TCS1212', 4, 'Q3', 87),
('S008', 'TCS1212', 6, 'A', 77),
('S008', 'TCS1212', 8, 'MT', 49),
('S008', 'TCS1212', 15, 'FT', 32),
('S008', 'ICT1233', 2, 'Q1', 66),
('S008', 'ICT1233', 5, 'Q2', 59),
('S008', 'ICT1233', 7, 'Q3', 66),
('S008', 'ICT1233', 7, 'A', 75),
('S008', 'ICT1233', 9, 'MT', 99),
('S008', 'ICT1233', 9, 'MP', 66),
('S008', 'ICT1233', 16, 'FT', 42),
('S008', 'ICT1233', 16, 'FP', 51),
('S008', 'ICT1253', 3, 'Q1', 78),
('S008', 'ICT1253', 6, 'Q2', 42),
('S008', 'ICT1253', 7, 'Q3', 70),
('S008', 'ICT1253', 8, 'A', 47),
('S008', 'ICT1253', 10, 'MP', 68),
('S008', 'ICT1253', 10, 'FP', 52),
('S008', 'ICT1253', 17, 'FT', 40),
('S008', 'TMS1233', 2, 'Q1', 94),
('S008', 'TMS1233', 5, 'Q2', 40),
('S008', 'TMS1233', 6, 'Q3', 65),
('S008', 'TMS1233', 7, 'A', 34),
('S008', 'TMS1233', 9, 'MT', 92),
('S008', 'TMS1233', 16, 'FT', 91),
('S008', 'ICT1212', 3, 'Q1', 66),
('S008', 'ICT1212', 6, 'Q2', 71),
('S008', 'ICT1212', 7, 'Q3', 70),
('S008', 'ICT1212', 8, 'A', 38),
('S008', 'ICT1212', 10, 'MT', 68),
('S008', 'ICT1212', 17, 'FT', 53),
('S008', 'ICT1222', 4, 'Q1', 94),
('S008', 'ICT1222', 9, 'Q2', 54),
('S008', 'ICT1222', 9, 'Q3', 96),
('S008', 'ICT1222', 7, 'A', 100),
('S008', 'ICT1222', 11, 'MP', 80),
('S008', 'ICT1222', 18, 'FP', 74),
('S008', 'ENG1212', 2, 'Q1', 47),
('S008', 'ENG1212', 5, 'Q2', 57),
('S008', 'ENG1212', 6, 'Q3', 89),
('S008', 'ENG1212', 7, 'A', 80),
('S008', 'ENG1212', 9, 'MT', 69),
('S008', 'ENG1212', 16, 'FT', 45),
('S008', 'ICT1242', 3, 'Q1', 96),
('S008', 'ICT1242', 6, 'Q2', 30),
('S008', 'ICT1242', 7, 'Q3', 70),
('S008', 'ICT1242', 8, 'A', 41),
('S008', 'ICT1242', 10, 'MT', 98),
('S008', 'ICT1242', 17, 'FT', 83),

('S009', 'TCS1212', 2, 'Q1', 34),
('S009', 'TCS1212', 4, 'Q2', 41),
('S009', 'TCS1212', 4, 'Q3', 73),
('S009', 'TCS1212', 6, 'A', 75),
('S009', 'TCS1212', 8, 'MT', 70),
('S009', 'TCS1212', 15, 'FT', 80),
('S009', 'ICT1233', 2, 'Q1', 61),
('S009', 'ICT1233', 5, 'Q2', 64),
('S009', 'ICT1233', 7, 'Q3', 75),
('S009', 'ICT1233', 7, 'A', 75),
('S009', 'ICT1233', 9, 'MT', 61),
('S009', 'ICT1233', 9, 'MP', 60),
('S009', 'ICT1233', 16, 'FT', 78),
('S009', 'ICT1233', 16, 'FP', 75),
('S009', 'ICT1253', 3, 'Q1', 98),
('S009', 'ICT1253', 6, 'Q2', 43),
('S009', 'ICT1253', 7, 'Q3', 75),
('S009', 'ICT1253', 8, 'A', 83),
('S009', 'ICT1253', 10, 'MP', 97),
('S009', 'ICT1253', 10, 'FP', 63),
('S009', 'ICT1253', 17, 'FT', 39),
('S009', 'TMS1233', 2, 'Q1', 56),
('S009', 'TMS1233', 5, 'Q2', 71),
('S009', 'TMS1233', 6, 'Q3', 65),
('S009', 'TMS1233', 7, 'A', 33),
('S009', 'TMS1233', 9, 'MT', 58),
('S009', 'TMS1233', 16, 'FT', 46),
('S009', 'ICT1212', 3, 'Q1', 69),
('S009', 'ICT1212', 6, 'Q2', 57),
('S009', 'ICT1212', 7, 'Q3', 70),
('S009', 'ICT1212', 8, 'A', 84),
('S009', 'ICT1212', 10, 'MT', 97),
('S009', 'ICT1212', 17, 'FT', 62),
('S009', 'ICT1222', 4, 'Q1', 75),
('S009', 'ICT1222', 9, 'Q2', 41),
('S009', 'ICT1222', 9, 'Q3', 78),
('S009', 'ICT1222', 7, 'A', 37),
('S009', 'ICT1222', 11, 'MP', 53),
('S009', 'ICT1222', 18, 'FP', 79),
('S009', 'ENG1212', 2, 'Q1', 99),
('S009', 'ENG1212', 5, 'Q2', 74),
('S009', 'ENG1212', 6, 'Q3', 89),
('S009', 'ENG1212', 7, 'A', 31),
('S009', 'ENG1212', 9, 'MT', 35),
('S009', 'ENG1212', 16, 'FT', 78),
('S009', 'ICT1242', 3, 'Q1', 68),
('S009', 'ICT1242', 6, 'Q2', 89),
('S009', 'ICT1242', 6, 'Q3', 79),
('S009', 'ICT1242', 8, 'A', 91),
('S009', 'ICT1242', 10, 'MT', 98),
('S009', 'ICT1242', 17, 'FT', 60),

('S010', 'TCS1212', 2, 'Q1', 32),
('S010', 'TCS1212', 4, 'Q2', 53),
('S010', 'TCS1212', 4, 'Q3', 66),
('S010', 'TCS1212', 6, 'A', 65),
('S010', 'TCS1212', 8, 'MT', 41),
('S010', 'TCS1212', 15, 'FT', 33),
('S010', 'ICT1233', 2, 'Q1', 36),
('S010', 'ICT1233', 5, 'Q2', 91),
('S010', 'ICT1233', 7, 'Q3', 58),
('S010', 'ICT1233', 7, 'A', 75),
('S010', 'ICT1233', 9, 'MT', 42),
('S010', 'ICT1233', 9, 'MP', 89),
('S010', 'ICT1233', 16, 'FT', 81),
('S010', 'ICT1233', 16, 'FP', 79),
('S010', 'ICT1253', 3, 'Q1', 100),
('S010', 'ICT1253', 6, 'Q2', 100),
('S010', 'ICT1253', 7, 'Q3', 95),
('S010', 'ICT1253', 8, 'A', 94),
('S010', 'ICT1253', 10, 'MP', 69),
('S010', 'ICT1253', 10, 'FP', 49),
('S010', 'ICT1253', 17, 'FT', 84),
('S010', 'TMS1233', 2, 'Q1', 65),
('S010', 'TMS1233', 5, 'Q2', 50),
('S010', 'TMS1233', 6, 'Q3', 65),
('S010', 'TMS1233', 7, 'A', 70),
('S010', 'TMS1233', 9, 'MT', 34),
('S010', 'TMS1233', 16, 'FT', 44),
('S010', 'ICT1212', 3, 'Q1', 66),
('S010', 'ICT1212', 6, 'Q2', 60),
('S010', 'ICT1212', 7, 'Q3', 65),
('S010', 'ICT1212', 8, 'A', 61),
('S010', 'ICT1212', 10, 'MT', 49),
('S010', 'ICT1212', 17, 'FT', 58),
('S010', 'ICT1222', 4, 'Q1', 68),
('S010', 'ICT1222', 9, 'Q2', 33),
('S010', 'ICT1222', 9, 'Q3', 33),
('S010', 'ICT1222', 7, 'A', 33),
('S010', 'ICT1222', 11, 'MP', 61),
('S010', 'ICT1222', 18, 'FP', 82),
('S010', 'ENG1212', 2, 'Q1', 95),
('S010', 'ENG1212', 5, 'Q2', 53),
('S010', 'ENG1212', 6, 'Q3', 89),
('S010', 'ENG1212', 7, 'A', 40),
('S010', 'ENG1212', 9, 'MT', 39),
('S010', 'ENG1212', 16, 'FT', 45),
('S010', 'ICT1242', 3, 'Q1', 39),
('S010', 'ICT1242', 6, 'Q2', 57),
('S010', 'ICT1242', 7, 'Q3', 65),
('S010', 'ICT1242', 8, 'A', 75),
('S010', 'ICT1242', 10, 'MT', 48),
('S010', 'ICT1242', 17, 'FT', 54),

('S011', 'TCS1212', 2, 'Q1', 38),
('S011', 'TCS1212', 4, 'Q2', 38),
('S011', 'TCS1212', 4, 'Q3', 82),
('S011', 'TCS1212', 6, 'A', 54),
('S011', 'TCS1212', 8, 'MT', 58),
('S011', 'TCS1212', 15, 'FT', 49),

('S012', 'ICT1233', 2, 'Q1', 51),
('S012', 'ICT1233', 5, 'Q2', 44),
('S012', 'ICT1233', 7, 'Q3', 64),
('S012', 'ICT1233', 9, 'MT', 86),
('S012', 'ICT1233', 9, 'MP', 35),
('S012', 'ICT1233', 16, 'FT', 30),
('S012', 'ICT1233', 16, 'FP', 45),

('S013', 'ICT1253', 3, 'Q1', 55),
('S013', 'ICT1253', 6, 'Q2', 41),
('S013', 'ICT1253', 8, 'A', 98),
('S013', 'ICT1253', 10, 'MP', 45),
('S013', 'ICT1253', 17, 'FT', 38),
('S013', 'ICT1253', 10, 'FP', 49),

('S014', 'TMS1233', 2, 'Q1', 45),
('S014', 'TMS1233', 5, 'Q2', 96),
('S014', 'TMS1233', 7, 'A', 59),
('S014', 'TMS1233', 9, 'MT', 73),
('S014', 'TMS1233', 16, 'FT', 51),

('S015', 'ICT1212', 3, 'Q1', 73),
('S015', 'ICT1212', 6, 'Q2', 43),
('S015', 'ICT1212', 8, 'A', 73),
('S015', 'ICT1212', 10, 'MT', 74),
('S015', 'ICT1212', 17, 'FT', 66),

('S016', 'TCS1212', 2, 'Q1', 32),
('S016', 'TCS1212', 4, 'Q2', 53),
